user,tag,weakness
Robin008,graphs,0.17806980029288652
Robin008,greedy,0.09442243261310401
Robin008,hashing,0.0003887873721861514
Robin008,implementation,0.05223560728865303
Robin008,interactive,0.7614998984832972
Robin008,math,0.11229350181007897
Robin008,matrices,3.887873721861514e-05
Robin008,meet-in-the-middle,7.775747443723027e-05
Robin008,number theory,0.11648445534389323
Robin008,probabilities,0.0001943936860930757
Robin008,shortest paths,0.7917833028783225
Robin008,sortings,0.007153687648225186
Robin008,strings,0.002604875393647214
Robin008,trees,0.1696573695286378
Robin008,two pointers,0.2591896264963567
RollBack,*special,7.775747443723027e-05
RollBack,2-sat,0.00042766610940476654
RollBack,binary search,0.07870778714529228
RollBack,bitmasks,0.09913802599691562
RollBack,brute force,0.06776867456013139
RollBack,chinese remainder theorem,3.887873721861514e-05
RollBack,combinatorics,0.16772751896528598
RollBack,constructive algorithms,0.07867072398984892
RollBack,data structures,0.09166723441825782
RollBack,dfs and similar,0.1140668311837034
RollBack,divide and conquer,0.000583181058279227
RollBack,dp,0.07208832391306859
RollBack,dsu,0.2460978975805233
RollBack,games,0.0011274833793398391
RollBack,geometry,0.1460886046421212
RollBack,graph matchings,0.00034990863496753624
RollBack,graphs,0.14649577087521326
RollBack,greedy,0.0698264472449274
RollBack,hashing,0.2267154449354098
RollBack,implementation,0.11132134605935552
RollBack,interactive,0.0006609385327164573
RollBack,math,0.05345007747366577
RollBack,matrices,7.775747443723027e-05
RollBack,meet-in-the-middle,3.887873721861514e-05
RollBack,number theory,0.05501374403238991
RollBack,probabilities,0.0009719684304653784
RollBack,shortest paths,0.3010053342842425
RollBack,sortings,0.04332026139004297
RollBack,string suffix structures,0.8167444241411039
RollBack,strings,0.1411948077697885
RollBack,ternary search,0.000272151160530306
RollBack,trees,0.05369623647748921
RollBack,two pointers,0.11065328495155899
rkb_rd,*special,0.37735548449386364
rkb_rd,binary search,0.14060064522042307
rkb_rd,bitmasks,0.2739088785644756
rkb_rd,brute force,0.2529638038956495
rkb_rd,chinese remainder theorem,0.0008553322188095331
rkb_rd,combinatorics,0.06982793427224866
rkb_rd,constructive algorithms,0.19789755501465944
rkb_rd,data structures,0.31121930039051166
rkb_rd,dfs and similar,0.49816228893885517
rkb_rd,divide and conquer,0.6893595414364136
rkb_rd,dp,0.2652088181283906
rkb_rd,dsu,0.44623286635650083
rkb_rd,expression parsing,1.2667055454038851
rkb_rd,fft,0.0006220597954978422
rkb_rd,flows,1.8000388787372186
rkb_rd,games,0.23739410943932537
rkb_rd,geometry,0.0015162707515259904
rkb_rd,graphs,0.5611152149778176
rkb_rd,greedy,0.2294618102940122
rkb_rd,hashing,0.38027260874566793
